v1	V(n001)	I(D1)
-8.329999999999953e-02	-8.330000e-02	-2.119153e-09
-8.319999999999952e-02	-8.320000e-02	-2.118267e-09
-8.309999999999952e-02	-8.310000e-02	-2.117380e-09
-8.299999999999952e-02	-8.300000e-02	-2.116490e-09
-8.289999999999952e-02	-8.290000e-02	-2.115598e-09
-8.279999999999951e-02	-8.280000e-02	-2.114704e-09
-8.269999999999951e-02	-8.270000e-02	-2.113809e-09
-8.259999999999951e-02	-8.260000e-02	-2.112911e-09
-8.249999999999950e-02	-8.250000e-02	-2.112012e-09
-8.239999999999950e-02	-8.240000e-02	-2.111110e-09
-8.229999999999950e-02	-8.230000e-02	-2.110206e-09
-8.219999999999950e-02	-8.220000e-02	-2.109301e-09
-8.209999999999949e-02	-8.210000e-02	-2.108393e-09
-8.199999999999949e-02	-8.200000e-02	-2.107484e-09
-8.189999999999949e-02	-8.190000e-02	-2.106572e-09
-8.179999999999948e-02	-8.180000e-02	-2.105658e-09
-8.169999999999948e-02	-8.170000e-02	-2.104743e-09
-8.159999999999948e-02	-8.160000e-02	-2.103825e-09
-8.149999999999948e-02	-8.150000e-02	-2.102905e-09
-8.139999999999947e-02	-8.140000e-02	-2.101984e-09
-8.129999999999947e-02	-8.130000e-02	-2.101060e-09
-8.119999999999947e-02	-8.120000e-02	-2.100134e-09
-8.109999999999946e-02	-8.110000e-02	-2.099206e-09
-8.099999999999946e-02	-8.100000e-02	-2.098276e-09
-8.089999999999946e-02	-8.090000e-02	-2.097344e-09
-8.079999999999946e-02	-8.080000e-02	-2.096410e-09
-8.069999999999945e-02	-8.070000e-02	-2.095474e-09
-8.059999999999945e-02	-8.060000e-02	-2.094536e-09
-8.049999999999945e-02	-8.050000e-02	-2.093596e-09
-8.039999999999944e-02	-8.040000e-02	-2.092654e-09
-8.029999999999944e-02	-8.030000e-02	-2.091709e-09
-8.019999999999944e-02	-8.020000e-02	-2.090763e-09
-8.009999999999944e-02	-8.010000e-02	-2.089814e-09
-7.999999999999943e-02	-8.000000e-02	-2.088864e-09
-7.989999999999943e-02	-7.990000e-02	-2.087911e-09
-7.979999999999943e-02	-7.980000e-02	-2.086956e-09
